Date,Open,High,Low,Close
2011-04-13,9280.75,9539.3,9264.15,9501
2011-04-15,9501.3,9556.45,9409.55,9488
2011-04-18,9497.5,9624.5,9377.45,9450.4
2011-04-19,9413.4,9447,9319.1,9334.6
2011-04-20,9380.25,9523.25,9375,9504.1
2011-04-21,9579.85,9583.05,9496.85,9520.2
2011-04-25,9521.75,9613.35,9508.9,9525.3
2011-04-26,9535.4,9566.4,9329.95,9528.2
2011-04-27,9540.25,9618.6,9513.05,9583.6
2011-04-28,9604.65,9634.35,9479.9,9500.1
2011-04-29,9465.9,9654.25,9465.9,9585.4
2011-05-02,9612.5,9648.55,9504.6,9521.9
2011-05-03,9506.65,9518.35,9300.6,9335.9
2011-05-04,9362.05,9397.3,9242.6,9345.8
2011-05-05,9350.9,9359.55,9120.3,9151.6
2011-05-06,9178.55,9279,9046.7,9262
2011-05-09,9267.75,9388.05,9200.7,9360.1
2011-05-10,9386.25,9559,9380.35,9458.8
2011-05-11,9457.5,9544.45,9426.95,9526.2
2011-05-12,9486.05,9571.4,9404.5,9423.9
2011-05-13,9411.05,9733.05,9372.7,9619.1
2011-05-16,9643.8,9674.1,9487.3,9507.4
2011-05-17,9516.8,9638.8,9516.8,9578.4
2011-05-18,9577.35,9670.4,9572.8,9611
2011-05-19,9642.85,9710.65,9592.4,9617.3
2011-05-20,9653.45,9710,9490.85,9564.2
2011-05-23,9574.15,9642.6,9532.35,9612.1
2011-05-24,9625.1,9632.1,9476.45,9520.2
2011-05-25,9508,9577.05,9446.8,9556.8
2011-05-26,9554.3,9574.55,9492.4,9552.4
2011-05-27,9553,9619.4,9553,9606.7
2011-05-30,9607.55,9652.6,9542.65,9603
2011-05-31,9610.45,9838.95,9610.45,9827.6
2011-06-01,9875.75,9894.3,9813.55,9874
2011-06-02,9848.2,10061.65,9822.8,9960
2011-06-03,9960.85,10024.65,9881.55,9898.5
2011-06-06,9900.45,9938.2,9823.45,9862.4
2011-06-07,9823.6,9900.85,9814.2,9855.5
2011-06-08,9843.55,9956.7,9828.35,9935.2
2011-06-09,9935.05,9964.9,9888.05,9926.1
2011-06-10,9830,9886.05,9780.75,9828.4
2011-06-13,9802,9864.3,9753.45,9815.4
2011-06-14,9813.5,9937.2,9813.5,9923.3
2011-06-15,9923.95,10005.55,9916.55,9942.1
2011-06-16,9958.75,9992.75,9916.35,9926.2
2011-06-17,9909.25,10021.45,9858,9874.4
2011-06-20,9901.9,9906.5,9587.05,9686.6
2011-06-21,9713.2,9790.05,9610.6,9623.3
2011-06-22,9642.35,9667.75,9510.45,9553.5
2011-06-23,9560.7,9778.8,9537,9762
2011-06-24,9772.9,9973,9756.2,9939
2011-06-27,9864.5,9968.15,9864.5,9898.1
2011-06-28,9909.3,9938.3,9808.2,9925.8
2011-06-29,9943,10211.5,9943,10187
2011-06-30,10197.15,10394.4,10197.15,10369
2011-07-01,10462.2,10462.75,10267.85,10313
2011-07-04,10379.75,10416.5,10246.2,10266
2011-07-05,10295.6,10297,10146.15,10157
2011-07-06,10141.6,10203.8,10104.55,10168
2011-07-07,10186.4,10462.1,10186.4,10446
2011-07-08,10446.95,10499.25,10292.45,10319
2011-07-11,10320.1,10411.05,10299.8,10361
2011-07-12,10328.25,10456.65,10249,10328
2011-07-13,10333.05,10419.15,10333.05,10393
2011-07-14,10390.4,10445.9,10283.25,10361
2011-07-15,10343.3,10403.4,10282.75,10298
2011-07-18,10320.75,10351.05,10265.85,10313
2011-07-19,10329.75,10416.4,10297.1,10382
2011-07-20,10384.35,10493.05,10384.35,10411
2011-07-21,10381.25,10485.05,10381.25,10428
2011-07-22,10475.4,10534.25,10440.8,10473
2011-07-25,10459.35,10459.35,10340.9,10405
2011-07-26,10397.3,10443.4,10178.2,10232
2011-07-27,10280.75,10292.35,10142,10239
2011-07-28,10167.35,10384.4,10148.8,10350
